section_id,section_name,capacity_level,section_weight,section_max_points,q_order,question_text,hint,question_type,opt_a,opt_b,opt_c,opt_d,opt_e,score_a,score_b,score_c,score_d,score_e,is_required,is_active
S01,Business information,info,0%,0,1,What is the full registered name of your business?,Use the exact name on your business registration certificate,text,,,,,,0,0,0,0,0,Yes,Yes
S01,Business information,info,0%,0,2,What sector does your business operate in?,,mcq,Agriculture & Agro-processing,Fisheries & Aquaculture,Manufacturing,Trade & Retail,Technology & IT Services,0,0,0,0,0,Yes,Yes
S01,Business information,info,0%,0,3,How long has your business been operating?,,mcq,Less than 1 year,1–3 years,4–7 years,8–15 years,More than 15 years,0,0,0,0,0,Yes,Yes
S01,Business information,info,0%,0,4,How many full-time employees does your business have?,,mcq,1–5 employees,6–10 employees,11–25 employees,26–50 employees,More than 50 employees,0,0,0,0,0,Yes,Yes
S01,Business information,info,0%,0,5,What is your estimated annual revenue (SLL Millions)?,,mcq,Below SLL 50 million,SLL 50–200 million,SLL 200–500 million,SLL 500m–1 billion,Above SLL 1 billion,0,0,0,0,0,Yes,Yes
S01,Business information,info,0%,0,6,What is the primary purpose of the loan you are seeking?,,mcq,Working capital / cash flow,Equipment / machinery purchase,Business expansion / new location,Stock / inventory purchase,Technology / IT investment,0,0,0,0,0,Yes,Yes
S02,Strategic capacity,strategic,30%,35,1,Does your business have a written business plan or growth strategy?,"Formal or informal, covering 1–5 years ahead",mcq,"Yes — a formal, detailed written business plan",Yes — an informal or brief written plan,No — we plan verbally but nothing is written,No — we have no business plan,,5,3,1,0,0,Yes,Yes
S02,Strategic capacity,strategic,30%,35,2,How clearly defined is your company's mission and vision?,,mcq,Clearly written down and communicated to all staff,We have a mission/vision but it is not widely known,We have an informal idea but nothing written,We have not defined a mission or vision,,5,3,1,0,0,Yes,Yes
S02,Strategic capacity,strategic,30%,35,3,How are major business decisions made in your company?,This helps assess key-man risk — whether the business depends on one person,mcq,Decisions shared across a formal management team,One main person decides but consults the team regularly,One main person makes most decisions with little consultation,One person makes all decisions alone,,5,3,1,0,0,Yes,Yes
S02,Strategic capacity,strategic,30%,35,4,Does your management team use digital tools in day-to-day operations?,,mcq,"Yes — emails, cloud storage, project management and video tools",Yes — mainly email and WhatsApp for business,"Partially — some staff use digital tools, others do not",No — we do not use digital tools for management,,5,3,2,0,0,Yes,Yes
